CODE;LIBELLE;LIBELLE COMMERCIAL;LIBELLE ETENDU;EAN;PCB;UNITE PRIX;UNITE COMMANDE;TYPE;SITE PRODUCTION;VALIDITE;CATEGORIE;NOM CATEGORIE;UNITE PRINCIPALE;UNITE SECONDAIRE
A0000;EAU;EAU;;;0000;;;ACH;;E;AACH;AUTRES;L;
A0001;BAC A GLACE 5 L (unit) CT 75P;;;;0000;CAR;P;ACH;;E;AEMB;EMBALLAGE;P;
A0002;CHARME CUP CC 120 TRANSPARENT;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0003;COUV BAC A GLACE 5 L (unit);;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0004;FRAISE ENTIERE BQT PONTHIER 1K;;;;0000;;;ACH;;E;AFRU;FRUITS;Kg;
A0005;ALGUES SUSHI YAKINORI G.B 50P;;;;0000;SCH;P;ACH;;E;ALEG;LEGUMES;P;
A0006;MELANGE FRUIT ROUG PONTHIER 1K;;;;0000;;;ACH;;E;AFRU;FRUITS;Kg;
A0007;FRITES 9/9 CRUES SOUS VIDE KG;;;;0000;;;ACH;;E;ALEG;LEGUMES;Kg;
A0008;POMME DE TERRE EPLUCHE SAC 5KG;;;;0000;;;ACH;;E;ALEG;LEGUMES;Kg;
A0009;GENOISE FEUILLE CONGELE CT 15P;;;;0000;;;ACH;;E;ASUR;SURGELES;P;
A0010;PLAQUE FEUILLETAGE 950GX15 P;;;;0000;;;ACH;;E;ASUR;SURGELES;P;
A0011;SCOTCH TRANSPARENT CT 72 P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0012;SAC 200X300 MM SS VIDE CT1000P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0013;SAC 200X300X70 CM IMP CT 1500P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0014;SAC 250X300 MM SS VIDE CT1000P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0015;SAC 250X350 MM SS VIDE CT1000P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0016;SAC 250X300X70 CM IMP CT 1500P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0017;SAC 250X350X70 CM IMP CT 1500P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0018;SAC 300X300 MM SS VIDE CT1000P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0019;SAC 300X400 MM SS VIDE CT 500P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0020;SAC 400X500 MM SS VIDE CT 500P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0021;SAC 400X600 MM SOUS VIDE;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0022;CART DOUBLE EPAISSEUR (unit);;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0023;CARTON KIT DESSUS DESSOUS 600P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0024;CARTON KRAFT 600X400X120 400P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0025;CARTON INT/EXT 600X400 CT1000P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0026;CARTON DESSU DESSOU KIT FD 600;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0027;CARTON DBLE EPAISSEUR BLC 300P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0028;RIZ BASMATI INDIA TODAY SAC 5K;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0029;BRISURES DE FRAMBOISE 5X1KG;;;;0000;;;ACH;;E;AFRU;FRUITS;Kg;
A0030;FRAMBOISE BRISURES SURG 1KG;;;;0000;;;ACH;;E;AFRU;FRUITS;Kg;
A0031;COCKTAIL DE FRUIT ROUGE 1KG;;;;0000;;;ACH;;E;AFRU;FRUITS;Kg;
A0032;MELANGE FRUIT ROUGE SURG KG;;;;0000;;;ACH;;E;AFRU;FRUITS;Kg;
A0033;CHARBON BIO;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;SAC;
A0034;PAPIER CUISSON PAQUET X 500 P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0035;POCHE PATISSIER 54X30 PQT 100P;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;P;
A0036;SIROP GLUCOSE SEAU 7 KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0037;SUCRE CRISTAL SAC 25 KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0038;SUCRE GRAINS N10 C15 SAC 10KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0039;SUCRE ROUX SAC 25KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0040;TRIMOLINE SEAU 16 KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0041;AMANDE EFFILEE 1KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0042;AMANDE HACHEE SACHET 1 KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0043;AMANDE POUDRE BLANCHE CT 10KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0044;BASE HELBA CRESCO 10 KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0046;BEURRE DOUX MOTTE 25KG;;;;0000;;;ACH;;E;AFRA;FRAIS;Kg;
A0047;BOMBE SPRAY AEROSOL 600MLX12U;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;U;
A0048;BOITE PIZZA RECTANGLE GRAND;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0049;BOITE PIZZA RECTANGLE PETIT;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0050;CACAO POUDRE PLEIN AROME 2.5 K;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0051;CACAO POUDRE 20-22 SACHET 1KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0052;BARQ FEUILL BOIS DE PIN 14X8X2;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0053;COCO RAPE 1KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0054;COPEAUX LAMY BLC BARRY 2.5KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0055;COPEAUX LAMY NOIR BARRY 2.5KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0056;COUV BTE SUSHIX32 210X210/200P;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0057;COUVERTUR IVOIRE SCHOKIMA 10KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0058;COUVERTUR LACTE 34% SCHOKI 10K;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0059;COUVERTUR NOIR 58% SCHOKI 10KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0060;CREME FRAICHE 30% MG 10 L;;;;0000;;;ACH;;E;AFRA;FRAIS;L;
A0061;FILM PALETTE 450MM X 300MM;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;RLX;
A0062;FONDANT BLANC SEAU 15KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0063;GLUCOSE DESHYDRATE SEAU 5KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0064;GLUCOSE SIROP SEAU 15KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0065;GOUTTE CHOCOLAT 44% 25KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0066;GOUTTE CHOCOLAT BLANC SO 5 KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0067;GOUTTE CHOCOLAT BRIOCH SAC 25K;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0068;KIT PART DESSRT RD 120X120 H35;;;;0000;;;ACH;;E;AEMB;EMBALLAGE;P;
A0069;LEVURE CHIMIQUE POT 1KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
A0070;NAPPAGE BLOND SEAU 14 KG;;;;0000;;;ACH;;E;ASEC;PRODUITS SECS;Kg;
