CODE CLIENT;LIBELLE;RAISON SOCIAL;ADRESSE 1;ADRESSE 2;CODE POSTAL;VILLE;PAYS;CLIENT BLOQUE;VALIDITE;MAIL1;MAIL2;MAIL3;FAMILLE
AKOATYS;AKOATYS;AKOATYS;84 rue Octave Benard;;97427;ETANG SALE;RE; ;E;;;;EXT
ARMASBRASP;ARMAS BRAS PANON;ARMAS BRAS PANON;Rue des lilas;;97412;BRAS PANON;RE; ;E;cds.bp@armas.fr;;;EXT
ARMASSTAND;ARMAS ST ANDRE;ARMAS ST ANDRE;6, rue de la cocoteraie;;97440;SAINT ANDRE;RE; ;E;cds.sta@armas.fr;;;EXT
ARMASSTCLO;ARMAS STE CLOTILDE;ARMAS STE CLOTILDE;2, rue de l'amiti - ZAC TRIANGLE;;97400;SAINT CLOTILDE;RE; ;E;;;;EXT
ARMASSTLOU;ARMAS ST LOUIS;ARMAS ST LOUIS;5A, av Dr Raymond Verges - RD PT GOL;;97450;SAINT LOUIS;RE; ;E;;;;EXT
BRASSEREST;BRASSERIE STE SUZANNE;BRASSERIE STE SUZANNE;4 AVENUE MAHATMA GHANDHI;CARREFOUR GRAND EST;97441;SAINTE SUZANNE;RE; ;E;;;;INT
BRASSERNOR;BRASSERIE STE CLOTILDE;BRASSERIE STE CLOTILDE;75 PLACE DU KARTING;CARREFOUR GRAND NORD;97490;SAINTE CLOTILDE;RE; ;E;;;;INT
BRIOCHEDOR;LA BRIOCHE DOREE;LA BRIOCHE DOREE;4 RUE ANTANIFOTSY - RAVINE A MARQUET;;97419;LA POSSESSION;RE; ;E;;;;EXT
CAPLAMONTA;CAP LA MONTAGNE;CAP LA MONTAGNE;40, route des palmiers;RD 41;97417;LA MONTAGNE;RE; ;E;valerie.tamaya@capmechant.re;;;INT
CAPZENBUFF;CAPZEN;CAPZEN;62 BOULEVARD DU CHAUDRON;;97490;SAINTE CLOTILDE;RE; ;E;;;;INT
