Chrono;Fourn.;Article;UC;Prix brut;Validit
136;4010AGRIV;A2004;P;Depuis le 08/09/2021, 1,6590 EUR/P;E
136;4010AGRIV;A2013;P;Depuis le 08/09/2021, 1,9816 EUR/P;E
136;4010AGRIV;A2005;P;Depuis le 08/09/2021, 0,1751 EUR/P;E
37;4010AHCHOU;A0558;Kg;Depuis le 10/06/2021, 18,1000 EUR/Kg;E
37;4010AHCHOU;A0573;Kg;Depuis le 10/06/2021, 12,5000 EUR/Kg;E
37;4010AHCHOU;A0574;Kg;Depuis le 10/06/2021, 12,0000 EUR/SCH;E
37;4010AHCHOU;A0575;Kg;Depuis le 10/06/2021, 4,6200 EUR/SCH;E
37;4010AHCHOU;A0576;Kg;Depuis le 27/08/2021, 11,5500 EUR/SCH;E
37;4010AHCHOU;A0577;Kg;Depuis le 10/06/2021, 2,9500 EUR/SCH;E
37;4010AHCHOU;A0578;Kg;Depuis le 10/06/2021, 3,7500 EUR/SCH;E
37;4010AHCHOU;A0583;Kg;Depuis le 10/06/2021, 10,5000 EUR/Kg;E
37;4010AHCHOU;A0586;Kg;Depuis le 10/06/2021, 9,9500 EUR/SCH;E
21;4010AHSO;A0529;Kg;Depuis le 09/06/2021, 1,6700 EUR/Kg;E
21;4010AHSO;A0278;Kg;Depuis le 09/06/2021, 5,8800 EUR/Kg;E
94;4010ALCAS;A0001;P;Depuis le 02/07/2021, 29,1000 EUR/CAR;E
94;4010ALCAS;A0003;P;Depuis le 02/07/2021, 21,8175 EUR/CAR;E
94;4010ALCAS;A1245;P;Depuis le 02/07/2021, 30,1575 EUR/COL;E
156;4010ANAFRU;A0149;Kg;Depuis le 08/09/2021, 1,2300 EUR/Kg;E
22;4010ARMAS;A0595;Kg;Depuis le 10/06/2021, 70,6700 EUR/CAR;E
22;4010ARMAS;A0597;Kg;Depuis le 10/06/2021, 13,5000 EUR/Kg;E
22;4010ARMAS;A0596;Kg;Depuis le 10/06/2021, 9,9000 EUR/Kg;E
22;4010ARMAS;A2367;Kg;Depuis le 14/12/2021, 23,3333 EUR/Kg;E
22;4010ARMAS;A0593;Kg;Depuis le 10/06/2021, 8,9000 EUR/SCH;E
22;4010ARMAS;A0555;Kg;Depuis le 09/06/2021, 17,5000 EUR/Kg;E
22;4010ARMAS;A0559;Kg;Depuis le 09/06/2021, 8,2000 EUR/Kg;E
22;4010ARMAS;A0548;Kg;Depuis le 09/06/2021, 7,9800 EUR/Kg;E
22;4010ARMAS;A0556;Kg;Depuis le 09/06/2021, 12,9000 EUR/Kg;E
22;4010ARMAS;A0613;Kg;Depuis le 10/06/2021, 7,8500 EUR/Kg;E
22;4010ARMAS;A0560;Kg;Depuis le 09/06/2021, 7,7800 EUR/Kg;E
22;4010ARMAS;A0557;Kg;Depuis le 09/06/2021, 14,9000 EUR/Kg;E
22;4010ARMAS;A0554;Kg;Depuis le 01/01/2022, 16,8000 EUR/Kg;E
22;4010ARMAS;A0609;Kg;Depuis le 10/06/2021, 6,4500 EUR/Kg;E
22;4010ARMAS;A0608;Kg;Depuis le 10/06/2021, 9,6900 EUR/Kg;E
22;4010ARMAS;A0540;Kg;Depuis le 09/06/2021, 11,3500 EUR/Kg;E
22;4010ARMAS;A0598;Kg;Depuis le 10/06/2021, 6,9800 EUR/Kg;E
22;4010ARMAS;A0542;Kg;Depuis le 09/06/2021, 9,9500 EUR/Kg;E
22;4010ARMAS;A0539;Kg;Depuis le 09/06/2021, 12,7000 EUR/Kg;E
22;4010ARMAS;A0600;Kg;Depuis le 10/06/2021, 5,8000 EUR/Kg;E
22;4010ARMAS;A0599;Kg;Depuis le 10/06/2021, 7,3000 EUR/Kg;E
22;4010ARMAS;A0594;Kg;Depuis le 10/06/2021, 27,9500 EUR/BTE;E
22;4010ARMAS;A0610;Kg;Depuis le 10/06/2021, 7,2000 EUR/Kg;E
22;4010ARMAS;A0611;Kg;Depuis le 10/06/2021, 6,9800 EUR/Kg;E
22;4010ARMAS;A0615;Kg;Depuis le 10/06/2021, 22,2600 EUR/Kg;E
22;4010ARMAS;A1040;Kg;Depuis le 30/06/2021, 12,5000 EUR/Kg;E
22;4010ARMAS;A1039;Kg;Depuis le 30/06/2021, 12,9000 EUR/Kg;E
22;4010ARMAS;A0543;Kg;Depuis le 09/06/2021, 11,9800 EUR/Kg;E
22;4010ARMAS;A2519;Kg;Depuis le 25/01/2022, 10,9000 EUR/Kg;E
22;4010ARMAS;A0545;Kg;Depuis le 01/01/2022, 11,9000 EUR/Kg;E
22;4010ARMAS;A0546;Kg;Depuis le 09/06/2021, 12,7800 EUR/Kg;E
22;4010ARMAS;A0544;Kg;Depuis le 09/06/2021, 13,9000 EUR/Kg;E
22;4010ARMAS;A0673;Kg;Depuis le 11/06/2021, 21,5000 EUR/SCH;E
22;4010ARMAS;A0607;Kg;Depuis le 10/06/2021, 3,9500 EUR/Kg;E
22;4010ARMAS;A0551;Kg;Depuis le 09/06/2021, 18,5000 EUR/Kg;E
22;4010ARMAS;A0553;Kg;Depuis le 09/06/2021, 9,9000 EUR/SCH;E
22;4010ARMAS;A0552;Kg;Depuis le 09/06/2021, 17,9000 EUR/Kg;E
22;4010ARMAS;A0637;Kg;Depuis le 11/06/2021, 3,7000 EUR/Kg;E
22;4010ARMAS;A0004;Kg;Depuis le 09/06/2021, 6,9000 EUR/Kg;E
22;4010ARMAS;A1670;Kg;Depuis le 09/09/2021, 58,2000 EUR/CAR;E
22;4010ARMAS;A0604;Kg;Depuis le 10/06/2021, 10,9000 EUR/Kg;E
22;4010ARMAS;A0612;Kg;Depuis le 10/06/2021, 7,9000 EUR/Kg;E
