csoc;cetab;ctie;ccdetyp;ni1;nlig;cart;cu1cde
CL;01;TOT3MARES;SNACK1;1;13;V0081;P
CL;01;TOT3MARES;SNACK1;2;14;V0082;P
CL;01;TOT400TAMP;SNACK1;1;13;V0081;P
CL;01;TOT400TAMP;SNACK1;2;14;V0082;P
CL;01;TOT3MARES;SNACK2;1;1;V0099;P
CL;01;TOT3MARES;SNACK2;2;2;V0100;P
CL;01;TOT3MARES;SNACK2;3;3;V0101;P
CL;01;TOT3MARES;SNACK2;4;4;V0102;P
CL;01;TOT400TAMP;SNACK2;1;1;V0099;P
CL;01;TOT400TAMP;SNACK2;2;2;V0100;P
CL;01;TOT400TAMP;SNACK2;3;3;V0101;P
CL;01;TOT400TAMP;SNACK2;4;4;V0102;P
CL;01;TOT3MARES;SNACK1;3;15;V0083;P
CL;01;TOT3MARES;SNACK1;4;16;V0084;P
CL;01;TOT3MARES;SNACK1;5;17;V0085;P
CL;01;TOT3MARES;SNACK1;6;18;V0086;P
CL;01;TOT3MARES;SNACK1;7;1;V0087;P
CL;01;TOT3MARES;SNACK1;9;2;V0089;P
CL;01;TOT3MARES;SNACK1;10;3;V0090;P
CL;01;TOT3MARES;SNACK1;11;4;V0091;P
CL;01;TOT3MARES;SNACK1;12;5;V0092;P
CL;01;TOT3MARES;SNACK1;13;6;V0093;P
CL;01;TOT3MARES;SNACK1;14;8;V0094;P
CL;01;TOT3MARES;SNACK1;15;9;V0095;P
CL;01;TOT3MARES;SNACK1;16;10;V0096;P
CL;01;TOT3MARES;SNACK1;17;11;V0097;P
CL;01;TOT400TAMP;SNACK1;3;15;V0083;P
CL;01;TOT400TAMP;SNACK1;4;16;V0084;P
CL;01;TOT400TAMP;SNACK1;5;17;V0085;P
CL;01;TOT400TAMP;SNACK1;6;18;V0086;P
CL;01;TOT400TAMP;SNACK1;7;1;V0087;P
CL;01;TOT400TAMP;SNACK1;9;2;V0089;P
CL;01;TOT400TAMP;SNACK1;10;3;V0090;P
CL;01;TOT400TAMP;SNACK1;11;4;V0091;P
CL;01;TOT400TAMP;SNACK1;12;5;V0092;P
CL;01;TOT400TAMP;SNACK1;13;6;V0093;P
CL;01;TOT400TAMP;SNACK1;14;8;V0094;P
CL;01;TOT400TAMP;SNACK1;15;9;V0095;P
CL;01;TOT400TAMP;SNACK1;16;10;V0096;P
CL;01;TOT400TAMP;SNACK1;17;11;V0097;P
CL;01;OLA2CANONS;SNACK1;1;13;V0081;P
CL;01;OLA2CANONS;SNACK1;2;14;V0082;P
CL;01;OLA2CANONS;SNACK1;3;15;V0083;P
CL;01;OLA2CANONS;SNACK1;4;16;V0084;P
CL;01;OLA2CANONS;SNACK1;5;17;V0085;P
CL;01;OLA2CANONS;SNACK1;6;18;V0086;P
CL;01;OLA2CANONS;SNACK1;7;1;V0087;P
CL;01;OLA2CANONS;SNACK1;9;2;V0089;P
CL;01;OLA2CANONS;SNACK1;10;3;V0090;P
CL;01;OLA2CANONS;SNACK1;11;4;V0091;P
CL;01;OLA2CANONS;SNACK1;12;5;V0092;P
CL;01;OLA2CANONS;SNACK1;13;6;V0093;P
CL;01;OLA2CANONS;SNACK1;14;8;V0094;P
CL;01;OLA2CANONS;SNACK1;15;9;V0095;P
CL;01;OLA2CANONS;SNACK1;16;10;V0096;P
